channel_title,Total_Videos,Total_Views,Avg_Views,Total_Likes,Avg_Engagement
pjmorton,2,32837,16418.5,1453,4.89
NoahKahanVEVO,3,32509,10836.33,2008,6.59
MiddleKidsVEVO,2,32433,16216.5,883,2.97
Trevor Wallace,4,31048,7762.0,3146,11.06
astroboy1960,2,30858,15429.0,67,0.29
Amarullah Rizky,3,30801,10267.0,117,0.38
tovestyrkeVEVO,3,30716,10238.67,3812,13.58
ROME REPORTS in English,3,30508,10169.33,293,1.24
Lawrence Livermore National Laboratory,1,30361,30361.0,26,0.12
ClovesVEVO,1,30260,30260.0,1769,6.13
The University of Chicago,4,30184,7546.0,116,0.45
TrainVEVO,1,30021,30021.0,569,2.18
toofacedcosmetics,2,29617,14808.5,1787,6.86
Rainsford,4,29054,7263.5,751,3.2
Guinness World Records,1,28539,28539.0,681,2.63
Disneyland Experience,3,28303,9434.33,564,2.49
David Steuer,1,27779,27779.0,49,0.32
BrianJustinCrum,1,27010,27010.0,1666,6.86
é­éè¾°,2,26964,13482.0,99,0.4
Prince Marcus,4,26651,6662.75,57,0.42
PekingDukVEVO,1,26117,26117.0,1178,4.86
Bini the Bunny,1,26102,26102.0,2246,9.41
Movieclips Film Festivals & Indie Films,1,26033,26033.0,177,0.76
shoaib246,1,25796,25796.0,64,0.35
Maker's Box,3,25780,8593.33,135,0.58
vnbreyes,8,24546,3068.25,19,0.08
yeokm1,1,24311,24311.0,176,0.9
Spectrum Haleskarth,4,24247,6061.75,64,0.36
theSkimm,2,24205,12102.5,4,0.26
Ford Europe,2,23852,11926.0,148,0.71
Humble Design,1,23634,23634.0,131,0.71
King Princess,1,23506,23506.0,1620,7.38
Stefany Gonzalez,2,23442,11721.0,79,0.46
WQAD News 8,3,22872,7624.0,21,0.13
Birdbox Studio,1,22695,22695.0,1174,5.69
American Bridge 21st Century,1,22690,22690.0,0,0.0
Plasma Channel,4,22660,5665.0,758,4.92
Hak5,2,22417,11208.5,599,3.73
Commercials Funny,1,22034,22034.0,49,0.26
Freemeo,2,21441,10720.5,82,0.43
Entertainment Weekly,6,21321,3553.5,315,1.97
Gregg Peterson,3,20581,6860.33,56,1.89
Milkmen Design,4,20507,5126.75,28,0.14
WLKY News Louisville,3,20229,6743.0,33,0.93
